negativeId,year,repository,place,prov,region,lat,lon
6001,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6002,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6003,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6004,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6005,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6006,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6007,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6008,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6009,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6011,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6012,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6013,1925.0,Museo Correr,Venezia,VE,VENETO,45.4046171,12.3105232
6014,1925.0,"S. Zaccaria, Venice",Venezia,VE,VENETO,45.4046171,12.3105232
6015,1925.0,Sant'Antonio Chapter House,Padova,PD,VENETO,45.391408,11.8058487
6016,1925.0,Sant'Antonio Chapter House,Padova,PD,VENETO,45.391408,11.8058487
6017,1925.0,Sant'Antonio Chapter House,Padova,PD,VENETO,45.391408,11.8058487
6018,1925.0,Sant'Antonio Chapter House,Padova,PD,VENETO,45.391408,11.8058487
6019,1925.0,Sant'Antonio Chapter House,Padova,PD,VENETO,45.391408,11.8058487
6020,1925.0,Sant'Antonio Chapter House,Padova,PD,VENETO,45.391408,11.8058487
6021,1925.0,Sant'Antonio Chapter House,Padova,PD,VENETO,45.391408,11.8058487
6022,1925.0,Sant'Antonio Chapter House,Padova,PD,VENETO,45.391408,11.8058487
6023,1925.0,"Pinacoteca, Bologna",Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6024,1925.0,"Accademia di Belle Arti, Bologna",Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6025,1925.0,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6026,1925.0,"Accademia di Belle Arti, Bologna",Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6027,1925.0,Pinacoteca Nazionale di Siena,Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6028,1925.0,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6031,1925.0,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6032,1925.0,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
