negativeId,year,repository,place,prov,region,lat,lon
6001,1925,Museo Correr,Venezia,VE,VENETO,,
6002,1925,Museo Correr,Venezia,VE,VENETO,,
6003,1925,Museo Correr,Venezia,VE,VENETO,,
6004,1925,Museo Correr,Venezia,VE,VENETO,,
6005,1925,Museo Correr,Venezia,VE,VENETO,,
6006,1925,Museo Correr,Venezia,VE,VENETO,,
6007,1925,Museo Correr,Venezia,VE,VENETO,,
6008,1925,Museo Correr,Venezia,VE,VENETO,,
6009,1925,Museo Correr,Venezia,VE,VENETO,,
6011,1925,Museo Correr,Venezia,VE,VENETO,,
6012,1925,Museo Correr,Venezia,VE,VENETO,,
6013,1925,Museo Correr,Venezia,VE,VENETO,,
6014,1925,"S. Zaccaria, Venice",Venezia,VE,VENETO,,
6015,1925,Sant'Antonio Chapter House,Padova,PD,VENETO,,
6016,1925,Sant'Antonio Chapter House,Padova,PD,VENETO,,
6017,1925,Sant'Antonio Chapter House,Padova,PD,VENETO,,
6018,1925,Sant'Antonio Chapter House,Padova,PD,VENETO,,
6019,1925,Sant'Antonio Chapter House,Padova,PD,VENETO,,
6020,1925,Sant'Antonio Chapter House,Padova,PD,VENETO,,
6021,1925,Sant'Antonio Chapter House,Padova,PD,VENETO,,
6022,1925,Sant'Antonio Chapter House,Padova,PD,VENETO,,
6023,1925,"Pinacoteca, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6024,1925,"Accademia di Belle Arti, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6025,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6026,1925,"Accademia di Belle Arti, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6027,1925,Pinacoteca Nazionale di Siena,Bologna,BO,EMILIA ROMAGNA,,
6028,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6031,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6032,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6033,1925,"Pinacoteca, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6034,1925,Sta. Maria dei Servi,Bologna,BO,EMILIA ROMAGNA,,
6035,1925,Sta. Maria dei Servi,Bologna,BO,EMILIA ROMAGNA,,
6036,1925,Sta. Maria dei Servi,Bologna,BO,EMILIA ROMAGNA,,
6040,1925,"S. Salvatore, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6041,1925,S. Giovanni in Monte,Bologna,BO,EMILIA ROMAGNA,,
6042,1925,"S. Domenico, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6044,1925,"S. Giacomo Maggiore, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6046,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6047,1925,Pinacoteca Nazionale di Siena,Bologna,BO,EMILIA ROMAGNA,,
6048,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6049,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6050,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6051,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6052,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6053,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6054,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6055,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6056,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6057,1925,"Pinacoteca Nazionale, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6058,1925,Galleria Nazionale delle Marche Palazzo Ducale,Urbino,PU,MARCHE,,
6059,1925,Palazzo Ducale,Urbino,PU,MARCHE,,
6060,1925,Galleria Nazionale delle Marche Palazzo Ducale,Urbino,PU,MARCHE,,
6061,1925,Palazzo Ducale,Urbino,PU,MARCHE,,
6062,1925,Palazzo Ducale,Urbino,PU,MARCHE,,
6063,1925,Palazzo Ducale,Urbino,PU,MARCHE,,
6064,1925,Palazzo Ducale,Urbino,PU,MARCHE,,
6065,1925,S. Giovanni Battista,Urbino,PU,MARCHE,,
6066,1925,S. Giovanni Battista,Urbino,PU,MARCHE,,
6067,1925,S. Giovanni Battista,Urbino,PU,MARCHE,,
6068,1925,Galleria Nazionale delle Marche Palazzo Ducale,Urbino,PU,MARCHE,,
6100,1925,Sta. Maria della Salute,Venezia,VE,VENETO,,
6101,1925,Pinacoteca Nazionale di Siena,Bologna,BO,EMILIA ROMAGNA,,
6102,1925,"San Francesco, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6103,1925,"Museo Civico, Bologna",Bologna,BO,EMILIA ROMAGNA,,
6104,1925,S. Domenico,Bologna,BO,EMILIA ROMAGNA,,
6105,1925,Museo Civico,Bologna,BO,EMILIA ROMAGNA,,
6106,1925,S. Domenico,Bologna,BO,EMILIA ROMAGNA,,
6107,1925,S. Domenico,Fabriano,AN,MARCHE,,
6109,1925,S. Domenico,Fabriano,AN,MARCHE,,
6110,1925,S. Domenico,Fabriano,AN,MARCHE,,
6111,1925,S. Domenico,Fabriano,AN,MARCHE,,
6112,1925,S. Domenico,Fabriano,AN,MARCHE,,
6113,1925,S. Domenico,Fabriano,AN,MARCHE,,
6114,1925,Pinacoteca,San Severino Marche,MC,MARCHE,,
6115,1925,Pinacoteca,San Severino Marche,MC,MARCHE,,
6116,1925,"Pinacoteca, San Severino",San Severino Marche,MC,MARCHE,,
6118,1925,Pinacoteca,Camerino,MC,MARCHE,,
6119,1925,Pinacoteca,Camerino,MC,MARCHE,,
6120,1925,Pinacoteca,Camerino,MC,MARCHE,,
6121,1925,Pinacoteca,Camerino,MC,MARCHE,,
6122,1925,Pinacoteca,Camerino,MC,MARCHE,,
6123,1925,Pinacoteca,Camerino,MC,MARCHE,,
6126,1925,S. Clemente,Serrapetrona,MC,MARCHE,,
6127,1925,S. Clemente,Serrapetrona,MC,MARCHE,,
6128,1925,Chiesa,"Castelraimondo, Castel Santa Maria",MC,MARCHE,,
6129,1925,S. Niccolò,Foligno,PG,UMBRIA,,
6130,1925,"S. Giacomo, Foligno",Foligno,PG,UMBRIA,,
6131,1925,Sta. Maria infra Portas,Foligno,PG,UMBRIA,,
6132,1926,Chiesa di S. Maria infra Portas,Foligno,PG,UMBRIA,,
6133,1925,Sta. Maria infra Portas,Foligno,PG,UMBRIA,,
6134,1925,S. Fortunato,Montefalco,PG,UMBRIA,,
6135,1925,"S. Fortunato, Montefalco",Montefalco,PG,UMBRIA,,
6136,1925,Museo communale di San Francesco,Montefalco,PG,UMBRIA,,
6137,1925,S. Rufinuccio,Assisi,PG,UMBRIA,,
6144,1925,Museo e Pinacoteca Comunale,Assisi,PG,UMBRIA,,
6145,1925,Museo e Pinacoteca Communale,Assisi,PG,UMBRIA,,
6146,1925,"Pinacoteca, Assisi",Assisi,PG,UMBRIA,,
6148,1925,Monastero di S. Giuseppe,Assisi,PG,UMBRIA,,
6150,1925,Basilica di S. Chiara,Assisi,PG,UMBRIA,,
6151,1925,Basilica di S. Chiara,Assisi,PG,UMBRIA,,
6152,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6153,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6154,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6155,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6156,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6157,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6158,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6159,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6160,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6163,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6164,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6165,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6166,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
