city,total,year,lat,lng
Venezia,19,1925,45.4046171,12.3105232
Padova,8,1925,45.391408,11.8058487
Bologna,64,1925,44.4938203,11.3426327
Urbino,11,1925,43.7262608,12.6363135
Fabriano,6,1925,43.3358407,12.9046187
San Severino Marche,3,1925,43.2290211,13.1779663
Camerino,6,1925,43.1357641,13.0683092
Serrapetrona,3,1925,43.1758989,13.1886151
"Castelraimondo, Castel Santa Maria",1,1925,43.2075604,13.0006411
Foligno,5,1925,42.9559744,12.7034782
Montefalco,3,1925,42.8918739,12.6500673
Assisi,188,1925,43.0711952,12.6146669
Sansepolcro,9,1925,43.5700776,12.1403766
Arezzo,28,1925,43.5171442,11.7639282
Cortona,1,1925,43.2752976,11.9850623
Monte San Savino,2,1925,43.3314232,11.7253508
Sinalunga,6,1925,43.2121236,11.7364829
Lucignano d'Arbia,1,1925,43.2126732,11.4359986
Torrita di Siena,1,1925,43.1667601,11.7716466
Montefollonico,2,1925,43.1277238,11.7450983
Cetona,2,1925,42.964431,11.9004535
Castiglione d'Orcia,1,1925,43.0071166,11.6155411
Rocca d'Orcia,1,1925,43.0113747,11.6141394
Buonconvento,4,1925,43.1381881,11.482096
Campriano,1,1925,43.1964525,11.3692252
Asciano,5,1925,43.2347752,11.5594227
Siena,81,1925,43.167206,11.467561
Montecchio di Sopra,1,1925,43.42994,11.08269
Ginestreto,1,1925,43.2735683,11.3129438
Cerreto Selva,1,1925,43.2807635,11.2698759
Rosia,2,1925,43.24611,11.22176
Montesiepi (Chiusdino),14,1925,43.1524476,11.1554423
Monticiano,8,1925,43.1396699,11.1801262
Montalcino,15,1925,43.0575578,11.4902818
"Castelnuovo dell'Abate, Montalcino",1,1925,42.9952027,11.5165108
Firenze,101,1925,43.7697955,11.2556404
Empoli,15,1926,43.7194884,10.9458556
Pisa,50,1926,43.4714722,10.6797912
Montepulciano,6,1926,43.0945279,11.7826795
Pienza,1,1926,43.0765485,11.6789076
San Quirico d'Orcia,6,1926,43.0603953,11.603645
Lucca,1,1926,44.0177639,10.45443
Pistoia,10,1926,43.9740957,10.8687081
Castelfiorentino,9,1926,43.6056068,10.9712484
Montespertoli,2,1926,43.6436718,11.0752521
Cambiano,1,1926,43.63324,10.96031
Monte Albino,1,1926,43.6099,11.09084
Certaldo,4,1926,43.5477043,11.0409545
Poggibonsi,8,1926,43.4677215,11.148762
Colle di Val d'Elsa,2,1926,43.4226367,11.1263856
Sant'Agnese in Chianti,1,1926,43.4831184,11.2310944
San Giovanni d'Asso,1,1926,43.1525692,11.5900075
San Gimignano,21,1926,43.4677993,11.0432115
Tavarnelle Val di Pesa,1,1926,43.5611665,11.1730035
Quinto Fiorentino,1,1926,43.8252954,11.2153507
Sesto Fiorentino,2,1926,43.831721,11.1992239
Bagno a Ripoli,4,1926,43.76173,11.38209
Monticelli,1,1926,43.77201,11.22725
Sollicciano,1,1926,43.772684,11.1824053
Pozzolatico,1,1926,43.7243046,11.2447212
Impruneta,1,1926,43.6853454,11.2546637
Lastra a Signa,9,1926,43.770985,11.107215
Castelnuovo Berardenga,3,1926,43.3455237,11.5018883
"Gaiole in Chianti, Castello di Brolio",8,1926,43.4135367,11.4639271
Maggiano,1,1926,43.167206,11.467561
Faenza,25,1926,44.2855555,11.8832055
Forlì,8,1926,44.2227278,12.041273
Modena,14,1926,44.5384728,10.9359609
Parma,24,1926,44.6952006,10.0979869
San Casciano in Val di Pesa,1,1926,43.6569596,11.1856679
Perugia,40,1926,43.1070321,12.4029962
Montefalco,13,1926,42.8918739,12.6500673
Foligno,16,1926,42.9559744,12.7034782
Sansepolcro,11,1926,43.5700776,12.1403766
Siena,78,1926,43.167206,11.467561
Asciano,20,1926,43.2347752,11.5594227
Firenze,13,1926,43.7697955,11.2556404
Lastra a Signa,32,1926,43.7451276,11.0668721
Roma,3,,41.8933203,12.4829321
Siena,173,1928,43.167206,11.467561
Agnano,1,1928,43.7377349,10.4878483
Ulignano,1,1928,43.5038469,11.0813787
Sarteano,1,1928,42.989911,11.8687316
San Rocco a Pilli,1,1928,43.2572869,11.2854524
"Sovicille, Pernina",2,1928,43.3073042,11.1941225
"Castelnuovo Berardenga, Dofana",1,1928,43.3136125,11.4308037
San Gimignano,108,1929,43.4677993,11.0432115
Panicale,1,1929,43.0290588,12.0983637
Casaglia,1,1929,43.93986,11.197
Volterra,27,1929,43.400337,10.860019
Staggia,8,1929,43.4222709,11.1824751
Monteriggioni,7,1929,43.3899772,11.2235936
"Monteriggioni, Uopini",1,1929,43.3519462,11.2977762
Murlo,3,1929,43.1607652,11.3879245
Montepertuso,7,1929,43.072964,11.234972
Bibbiano,1,1929,43.12387,11.44955
Buonconvento,13,1929,43.1381881,11.482096
Asciano,24,1929,43.2347752,11.5594227
Trequanda,4,1929,43.1889394,11.6673852
Montisi,11,1929,43.1570068,11.6520963
"Trequanda, Castelmuzio",3,1929,43.1409189,11.6643092
Sinalunga,2,1929,43.2121236,11.7364829
Lucignano d'Arbia,10,1929,43.2126732,11.4359986
Torrita di Siena,13,1929,43.1667601,11.7716466
Pienza,31,1929,43.0765485,11.6789076
Castiglione d'Orcia,6,1929,43.0071166,11.6155411
Serre di Rapolano,1,1929,43.2579571,11.6170145
Castelnuovo Berardenga,2,1929,43.3455237,11.5018883
San Casciano in Val di Pesa,6,1929,43.6569596,11.1856679
Basciano,1,1929,43.37114,11.29597
Grosseto,12,1929,42.7751102,11.2878044
Castelsantangelo sul Nera,24,1929,42.8944925,13.1539297
Roma,1,1929,41.8933203,12.4829321
Nocelleto,2,1929,42.8846756,13.1520901
Visso,7,1929,42.9312321,13.087449
Campi,20,1929,42.8512,13.09494
Borgo Cerreto,5,1929,42.8150034,12.9152755
Spoleto,54,1929,42.7342971,12.7382035
Vallo di Nera,9,1929,42.7546212,12.8637598
Trevi,22,1929,42.8774972,12.7474547
Berlin (Berlin state),,1929,,
Berlin (Berlin state),,1929,,
Berlin (Berlin state),,1929,,
Todi,2,1929,42.7824434,12.4062554
Rapicciano,1,1929,42.6993364,12.6376638
Picciche,3,1929,42.8472503,12.7003833
"Terenzano, Fivizzano",3,1929,44.212749,10.1467261
"Sovicille, Pernina",1,1929,43.3073042,11.1941225
Montecchio,1,1929,42.663533,12.286862
Rapolano (ex),2,1929,43.2641964,11.6319964
Siena,68,1929,43.167206,11.467561
Olena,2,1929,43.52452,11.22715
Firenze,53,1929,43.7697955,11.2556404
Rovezzano,3,1929,43.7664606,11.3128162
Compiobbi,1,1929,43.7843696,11.3611387
Mosciano,1,1929,43.7321952,11.1582093
San Quirico d'Orcia,7,1929,43.0603953,11.603645
Chianciano Terme,9,1929,43.0582549,11.8284293
